"","na.omit(tex)[1:10]"
"2411","Nonlinear Dynamics"
"2412","Communications in Nonlinear Science and Numerical Simulation"
"2413","Chaos: An Interdisciplinary Journal of Nonlinear Science"
"2414","Nonlinear Analysis: Real World Applications"
"2415","Advances in Difference Equations"
"2416","Chaos, Solitons & Fractals"
"2417","Nonlinearity"
"2418","International Journal of Bifurcation and Chaos"
"2419","Physica D: Nonlinear Phenomena"
"2420","Nonlinear Analysis: Hybrid Systems"
"2421","Nature Photonics"
"2422","Optics Express"
"2423","Optics Letters"
"2424","Journal of Lightwave Technology"
"2425","Light: Science and Applications"
"2426","Conference on Lasers and Electro-Optics (CLEO)"
"2427","Laser & Photonics Reviews"
"2428","Advanced Optical Materials"
"2429","Optica"
"2430","CLEO: QELS_Fundamental Science"
"2431","Physical Review Letters"
"2432","Nature Physics"
"2433","Reviews of Modern Physics"
"2434","Physical Review A"
"2435","Proceedings of the IEEE"
"2436","Reports on Progress in Physics"
"2437","New Journal of Physics"
"2438","Physical review. E"
"2439","Computer Physics Communications"
"2440","Journal of Molecular Liquids"
"2441","Nuclear Fusion"
"2442","Physics of Plasmas"
"2443","Plasma Sources Science and Technology"
"2444","Plasma Physics and Controlled Fusion"
"2445","Fusion Engineering and Design"
"2446","IEEE Transactions on Plasma Science"
"2447","Plasma Chemistry and Plasma Processing"
"2448","High Energy Density Physics"
"2449","Fusion Science and Technology"
"2450","Contributions to Plasma Physics"
"2451","The Annals of Statistics"
"2452","Journal of Econometrics"
"2453","Journal of Statistical Software"
"2454","Statistics in Medicine"
"2455","Journal of the Royal Statistical Society: Series B (Statistical Methodology)"
"2456","Journal of the American Statistical Association"
"2457","The Annals of Probability"
"2458","The Annals of Applied Probability"
"2459","Computational Statistics & Data Analysis"
"2460","Probability Theory and Related Fields"
"2461","Fixed Point Theory and Applications"
"2462","Abstract and Applied Analysis"
"2463","Journal of Inequalities and Applications"
"2464","Advances in Difference Equations"
"2465","Journal für die reine und angewandte Mathematik (Crelles Journal)"
"2466","Discrete Applied Mathematics"
"2467","Nonlinear Analysis: Theory, Methods & Applications"
"2468","Filomat"
"2469","Boundary Value Problems"
"2470","SIAM Journal on Discrete Mathematics"
"2471","The Journal of Chemical Physics"
"2472","Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy"
"2473","The Journal of Physical Chemistry A"
"2474","Journal of Luminescence"
"2475","Journal of Quantitative Spectroscopy and Radiative Transfer"
"2476","Journal of Magnetic Resonance"
"2477","Journal of Physics B: Atomic, Molecular and Optical Physics"
"2478","Chemical Physics Letters"
"2479","Journal of Analytical Atomic Spectrometry"
"2480","International Journal of Quantum Chemistry"
"2481","International Journal of Heat and Mass Transfer"
"2482","Applied Thermal Engineering"
"2483","International Communications in Heat and Mass Transfer"
"2484","International Journal of Thermal Sciences"
"2485","International Journal of Refrigeration"
"2486","Experimental Thermal and Fluid Science"
"2487","The Journal of Chemical Thermodynamics"
"2488","Journal of Thermal Analysis and Calorimetry"
"2489","Thermochimica Acta"
"2490","Journal of Heat Transfer"
"2491","Psychological Assessment"
"2492","Psychological Methods"
"2493","Assessment"
"2494","Assessment & Evaluation in Higher Education"
"2495","Journal of Personality Assessment"
"2496","Studies in Educational Evaluation"
"2497","Language Testing"
"2498","European Journal of Psychological Assessment"
"2499","Educational and Psychological Measurement"
"2500","Psychometrika"
"2501","African Affairs"
"2502","Journal of African Economies"
"2503","Journal of Eastern African Studies"
"2504","African Development Review"
"2505","Review of African Political Economy"
"2506","African Studies Review"
"2507","Urban Forum"
"2508","Development Southern Africa"
"2509","The Journal of Modern African Studies"
"2510","Journal of Southern African Studies"
"2511","Journal of Human Evolution"
"2512","Current Anthropology"
"2513","American Journal of Physical Anthropology"
"2514","American Ethnologist"
"2515","Economics & Human Biology"
"2516","Annual Review of Anthropology"
"2517","HAU: Journal of Ethnographic Theory"
"2518","American Journal of Human Biology"
"2519","Journal of Anthropological Archaeology"
"2520","Cultural Anthropology"
"2521","Journal of Archaeological Science"
"2522","Journal of Cultural Heritage"
"2523","Journal of Archaeological Method and Theory"
"2524","Antiquity"
"2525","Journal of Anthropological Archaeology"
"2526","International Journal of Heritage Studies"
"2527","Radiocarbon"
"2528","Archaeometry"
"2529","International Journal of Osteoarchaeology"
"2530","Vegetation History and Archaeobotany"
"2531","Lighting Research & Technology"
"2532","Buildings"
"2533","Frontiers of Architectural Research"
"2534","Architectural Engineering and Design Management"
"2535","Architectural Science Review"
"2536","Advances in Building Energy Research"
"2537","Architectural Design"
"2538","Structural Survey"
"2539","International Journal of Architectural Research: ArchNet-IJAR"
"2540","Journal of Architectural Engineering"
"2541","The China Quarterly"
"2542","Journal of Contemporary China"
"2543","Journal of Contemporary Asia"
"2544","The Pacific Review"
"2545","Journal of Asian Economics"
"2546","The China Journal"
"2547","Asian Economic Policy Review"
"2548","Eurasian Geography and Economics"
"2549","Asia Pacific Viewpoint"
"2550","Asia Pacific Business Review"
"2551","Nursing Ethics"
"2552","Journal of Medical Ethics"
"2553","The Journal of Law, Medicine & Ethics"
"2554","The American Journal of Bioethics"
"2555","BMC Medical Ethics"
"2556","Bioethics"
"2557","Medicine, Health Care and Philosophy"
"2558","Hastings Center Report"
"2559","Journal of Bioethical Inquiry"
"2560","Journal of Medicine and Philosophy"
"2561","The Canadian Geographer"
"2562","Canadian Public Policy"
"2563","Canadian Review of Sociology"
"2564","Canadian Public Administration"
"2565","Canadian Journal of Political Science/Revue canadienne de science politique"
"2566","The School of Public Policy Publications"
"2567","Canadian Ethnic Studies"
"2568","Canadian Foreign Policy Journal"
"2569","Canadian Historical Review"
"2570","Journal of Canadian Studies"
"2571","China Economic Review"
"2572","The China Quarterly"
"2573","Journal of Contemporary China"
"2574","The China Journal"
"2575","China & World Economy"
"2576","Journal of Current Chinese Affairs"
"2577","Chinese Journal of Communication"
"2578","Chinese Management Studies"
"2579","Journal of Chinese Political Science"
"2580","China Information"
"2581","Trends in Cognitive Sciences"
"2582","Journal of Experimental Psychology: General"
"2583","Cortex"
"2584","Social Cognitive and Affective Neuroscience"
"2585","Cognition"
"2586","Neuropsychologia"
"2587","Journal of Cognitive Neuroscience"
"2588","Psychonomic Bulletin & Review"
"2589","Journal of Experimental Psychology: Human Perception and Performance"
"2590","Journal of Experimental Psychology: Learning, Memory, and Cognition"
"2591","Criminology"
"2592","British Journal Of Criminology"
"2593","Justice Quarterly"
"2594","Law and Human Behavior"
"2595","Journal of Criminal Justice"
"2596","Criminal Justice and Behavior"
"2597","Journal of Research in Crime and Delinquency"
"2598","Journal of Quantitative Criminology"
"2599","Crime & Delinquency"
"2600","Journal of Experimental Criminology"
"2601","World Development"
"2602","Journal of Development Economics"
"2603","The Journal of Peasant Studies"
"2604","Third World Quarterly"
"2605","The Journal of Development Studies"
"2606","Development and Change"
"2607","The World Bank Economic Review"
"2608","Economic Development and Cultural Change"
"2609","Journal of Agrarian Change"
"2610","Development Policy Review"
"2611","Journal of Conflict Resolution"
"2612","Journal of Peace Research"
"2613","Foreign Affairs"
"2614","International Organization"
"2615","Third World Quarterly"
"2616","Journal of Democracy"
"2617","European Journal of International Relations"
"2618","International Studies Quarterly"
"2619","International Affairs"
"2620","Review of International Political Economy"
"2621","Early Childhood Research Quarterly"
"2622","Reading and Writing"
"2623","The Reading Teacher"
"2624","Reading Research Quarterly"
"2625","Early Childhood Education Journal"
"2626","Early Education and Development"
"2627","Scientific Studies of Reading"
"2628","Early Childhood Development and Care"
"2629","The Elementary School Journal"
"2630","Journal of Research in Reading"
"2631","The Journal of Economic History"
"2632","Business History"
"2633","The Economic History Review"
"2634","Explorations in Economic History"
"2635","Review of Keynesian Economics"
"2636","European Review of Economic History"
"2637","History of Political Economy"
"2638","The European Journal of the History of Economic Thought"
"2639","Journal of the History of Economic Thought"
"2640","Accounting History"
"2641","Teaching and Teacher Education"
"2642","British Journal of Educational Technology"
"2643","Educational Researcher"
"2644","Learning and Instruction"
"2645","Review of Educational Research"
"2646","American Educational Research Journal"
"2647","Studies in Higher Education"
"2648","Higher Education"
"2649","The International Review of Research in Open and Distributed Learning"
"2650","Journal of Research in Science Teaching"
"2651","Journal of Education Policy"
"2652","Educational Administration Quarterly"
"2653","Educational Management Administration & Leadership"
"2654","Educational Leadership"
"2655","Journal of Educational Administration"
"2656","Educational Policy"
"2657","School Effectiveness and School Improvement"
"2658","Phi Delta Kappan"
"2659","Professional Development in Education"
"2660","International Journal of Educational Management"
"2661","Journal of Educational Psychology"
"2662","Journal of Counseling Psychology"
"2663","Learning and Individual Differences"
"2664","Educational Psychologist"
"2665","Educational Psychology Review"
"2666","Contemporary Educational Psychology"
"2667","Journal of School Psychology"
"2668","Journal of Counseling & Development"
"2669","School Psychology Quarterly"
"2670","British Journal of Educational Psychology"
"2671","Computers & Education"
"2672","British Journal of Educational Technology"
"2673","The International Review of Research in Open and Distributed Learning"
"2674","The Internet and Higher Education"
"2675","Journal of Educational Technology & Society"
"2676","Journal of Computer Assisted Learning"
"2677","International Conference on Learning Analytics And Knowledge"
"2678","Educational Technology Research and Development"
"2679","TechTrends"
"2680","Language Learning & Technology"
"2681","Environmental Health Perspectives"
"2682","Epidemiology"
"2683","Environmental Research"
"2684","International Journal of Hygiene and Environmental Health"
"2685","Environmental Health"
"2686","Occupational and Environmental Medicine"
"2687","Journal of Occupational Health Psychology"
"2688","Regulatory Toxicology and Pharmacology"
"2689","Critical Reviews in Toxicology"
"2690","Scandinavian Journal of Work, Environment & Health"
"2691","Energy Policy"
"2692","Energy Economics"
"2693","Current Opinion in Environmental Sustainability"
"2694","Marine Policy"
"2695","Energy Research & Social Science"
"2696","Journal of Environmental Economics and Management"
"2697","Environmental Impact Assessment Review"
"2698","Mitigation and Adaptation Strategies for Global Change"
"2699","Annual Reviews of Environment and Resources"
"2700","Energy Journal"
"2701","Synthese"
"2702","Noûs"
"2703","The British Journal for the Philosophy of Science"
"2704","Philosophy of Science"
"2705","Erkenntnis"
"2706","Journal of Philosophical Logic"
"2707","Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics"
"2708","Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences"
"2709","Journal of Philosophy"
"2710","Philosopher's Imprint"
"2711","Journal of Business Ethics"
"2712","Corporate Social Responsibility and Environmental Management"
"2713","Business & Society"
"2714","Science and Engineering Ethics"
"2715","Business Ethics: A European Review"
"2716","Business Ethics Quarterly"
"2717","Social Responsibility Journal"
"2718","Ethics"
"2719","Environmental Values"
"2720","Ethics & International Affairs"
"2721","Common Market Law Review"
"2722","European Law Journal"
"2723","German Law Journal"
"2724","International Journal Of Constitutional Law"
"2725","European Constitutional Law Review"
"2726","European Law Review"
"2727","Maastricht Journal of European and Comparative Law"
"2728","European Journal of Risk Regulation"
"2729","European Business Organization Law Review"
"2730","European Company and Financial Law Review"
"2731","Journal of Child and Family Studies"
"2732","Journal of Marriage and Family"
"2733","Journal of Family Psychology"
"2734","Clinical Child and Family Psychology Review"
"2735","Journal of Family Issues"
"2736","Family Process"
"2737","Journal of Marital and Family Therapy"
"2738","Journal of Social and Personal Relationships"
"2739","Family Relations"
"2740","Personal Relationships"
"2741","Psychology of Women Quarterly"
"2742","Women's Studies International Forum"
"2743","Feminist Media Studies"
"2744","Signs"
"2745","Feminism & Psychology"
"2746","Hypatia"
"2747","European Journal of Women's Studies"
"2748","International Feminist Journal of Politics"
"2749","Feminist Review"
"2750","Feminist Theory"
"2751","Forensic Science International: Genetics"
"2752","Forensic Science International"
"2753","Journal of Analytical Toxicology"
"2754","Journal of Forensic Sciences"
"2755","International Journal of Legal Medicine"
"2756","Digital Investigation"
"2757","Forensic Toxicology"
"2758","Journal of Forensic and Legal Medicine"
"2759","Science & Justice"
"2760","Forensic Science, Medicine, and Pathology"
"2761","Progress in Human Geography"
"2762","Applied Geography"
"2763","Annals of the Association of American Geographers"
"2764","Journal of Economic Geography"
"2765","International Journal of Geographical Information Science"
"2766","Transactions of the Institute of British Geographers"
"2767","Political Geography"
"2768","Tourism Geographies"
"2769","Progress in Physical Geography"
"2770","Urban Geography"
"2771","Health Affairs"
"2772","Journal of Health Economics"
"2773","Health Policy"
"2774","Health Services Research"
"2775","Health Policy and Planning"
"2776","Health Research Policy and Systems"
"2777","The Milbank Quarterly"
"2778","Medical Care Research and Review"
"2779","Journal of Managed Care & Specialty Pharmacy"
"2780","Journal of Health Politics, Policy and Law"
"2781","Studies in Higher Education"
"2782","Higher Education"
"2783","Research in Higher Education"
"2784","The Journal of Higher Education"
"2785","Assessment & Evaluation in Higher Education"
"2786","Higher Education Research & Development"
"2787","Journal of Studies in International Education"
"2788","College Student Journal"
"2789","Journal of College Student Development"
"2790","Teaching in Higher Education"
"2791","The Journal of Economic History"
"2792","Business History"
"2793","The Economic History Review"
"2794","The American Historical Review"
"2795","Past & Present"
"2796","Journal of American History"
"2797","Comparative Studies in Society and History"
"2798","Journal of Historical Geography"
"2799","History and Theory"
"2800","Journal of Global History"
"2801","Ethnic and Racial Studies"
"2802","Journal of Ethnic and Migration Studies"
"2803","Population, Space and Place"
"2804","Mobilities"
"2805","International Migration"
"2806","International Migration Review"
"2807","Global Networks"
"2808","Ethnicities"
"2809","Citizenship Studies"
"2810","Migration Studies"
"2811","Journal of Management"
"2812","Academy of Management Journal"
"2813","International Journal of Project Management"
"2814","Academy of Management Review"
"2815","Organization Science"
"2816","Journal of Organizational Behavior"
"2817","The Leadership Quarterly"
"2818","Journal of Management Studies"
"2819","Journal of Labor Economics"
"2820","The International Journal of Human Resource Management"
"2821","American Journal of International Law"
"2822","Common Market Law Review"
"2823","German Law Journal"
"2824","European Journal Of International Law"
"2825","International Journal Of Constitutional Law"
"2826","International Journal of Transitional Justice"
"2827","Journal of International Economic Law"
"2828","American Journal of Comparative Law"
"2829","Human Rights Law Review"
"2830","Human Rights Quarterly"
"2831","Harvard Law Review"
"2832","Yale Law Journal"
"2833","Stanford Law Review"
"2834","Columbia Law Review"
"2835","University of Pennsylvania Law Review"
"2836","Georgetown Law Journal"
"2837","Cornell Law Review"
"2838","Fordham Law Review"
"2839","New York University Law Review"
"2840","University of Chicago Law Review"
"2841","Journal of the Association for Information Science and Technology"
"2842","Scientometrics"
"2843","Journal of Informetrics"
"2844","The Journal of Academic Librarianship"
"2845","Online Information Review"
"2846","Journal of Information Science"
"2847","College & Research Libraries"
"2848","Journal of Documentation"
"2849","Library Hi Tech"
"2850","Library & Information Science Research"
"2851","Insight Turkey"
"2852","Middle East Policy"
"2853","Turkish Studies"
"2854","The Journal of North African Studies"
"2855","International Journal of Middle East Studies"
"2856","The Middle East Journal"
"2857","Bulletin of the American Schools of Oriental Research"
"2858","Arab Studies Quarterly"
"2859","British Journal of Middle Eastern Studies"
"2860","Journal of Muslim Minority Affairs"
"2861","International Security"
"2862","Security Dialogue"
"2863","Studies in Conflict & Terrorism"
"2864","Survival"
"2865","Security Studies"
"2866","Journal of Strategic Studies"
"2867","Military Psychology"
"2868","Armed Forces & Society"
"2869","European Security"
"2870","Defence and Peace Economics"
"2871","Palaeogeography, Palaeoclimatology, Palaeoecology"
"2872","Palaeontology"
"2873","Cretaceous Research"
"2874","Journal of Vertebrate Paleontology"
"2875","Journal of Paleontology"
"2876","Review of Palaeobotany and Palynology"
"2877","Journal of Systematic Palaeontology"
"2878","Paleobiology"
"2879","Acta Palaeontologica Polonica"
"2880","Marine Micropaleontology"
"2881","American Journal of Political Science"
"2882","American Political Science Review"
"2883","Comparative Political Studies"
"2884","Journal of European Public Policy"
"2885","The Journal of Politics"
"2886","JCMS: Journal of Common Market Studies"
"2887","Journal of Democracy"
"2888","British Journal of Political Science"
"2889","Political Studies"
"2890","Party Politics"
"2891","American Journal of Public Health"
"2892","BMC Public Health"
"2893","American Journal of Preventive Medicine"
"2894","International Journal of Environmental Research and Public Health"
"2895","International Journal of Behavioral Nutrition and Physical Activity"
"2896","Preventive Medicine"
"2897","Tobacco Control"
"2898","Bulletin of the World Health Organization"
"2899","Nicotine & Tobacco Research"
"2900","AIDS and behavior"
"2901","Public Administration Review"
"2902","Journal Of Public Administration Research And Theory"
"2903","Public Management Review"
"2904","Public Administration"
"2905","Governance"
"2906","Policy Studies Journal"
"2907","Environment and Planning C: Government and Policy"
"2908","The American Review of Public Administration"
"2909","Policy & Politics"
"2910","Science and Public Policy"
"2911","Academic Medicine"
"2912","Medical Education"
"2913","Medical Teacher"
"2914","Journal of Research in Science Teaching"
"2915","BMC Medical Education"
"2916","International Journal of Science Education"
"2917","CBE—Life Sciences Education"
"2918","Educational Studies in Mathematics"
"2919","Zentralblatt für Didaktik der Mathematik (ZDM)"
"2920","Science Education"
"2921","Archives of Sexual Behavior"
"2922","The Journal of Sex Research"
"2923","Journal of Homosexuality"
"2924","Culture, Health & Sexuality"
"2925","Sexual Abuse"
"2926","Sexualities"
"2927","Journal of Sex & Marital Therapy"
"2928","Psychology of Sexual Orientation and Gender Diversity"
"2929","LGBT Health"
"2930","Sex Education"
"2931","Global Environmental Change"
"2932","Social Science & Medicine"
"2933","Government Information Quarterly"
"2934","Food Policy"
"2935","Procedia-Social and Behavioral Sciences"
"2936","Information, Communication & Society"
"2937","Geoforum"
"2938","American Behavioral Scientist"
"2939","Social Indicators Research"
"2940","Wiley Interdisciplinary Reviews: Climate Change"
"2941","Child Abuse & Neglect"
"2942","Aggression and Violent Behavior"
"2943","Journal of Child and Family Studies"
"2944","Journal of Interpersonal Violence"
"2945","Children and Youth Services Review"
"2946","Trauma, Violence, & Abuse"
"2947","British Journal of Social Work"
"2948","Psychology of Violence"
"2949","Violence Against Women"
"2950","Journal of Family Violence"
"2951","American Sociological Review"
"2952","Demography"
"2953","Annual Review of Sociology"
"2954","Journal of Marriage and Family"
"2955","Antipode"
"2956","European Sociological Review"
"2957","Criminology"
"2958","American Journal of Sociology"
"2959","Ethnic and Racial Studies"
"2960","Sociology"
"2961","Journal of Learning Disabilities"
"2962","Exceptional Children"
"2963","Remedial and Special Education"
"2964","International Journal of Inclusive Education"
"2965","Journal Of Deaf Studies And Deaf Education"
"2966","Journal of Positive Behavior Interventions"
"2967","TEACHING Exceptional Children"
"2968","Education and Treatment of Children"
"2969","Learning Disability Quarterly"
"2970","Focus on Autism and Other Developmental Disabilities"
"2971","Journal of Cleaner Production"
"2972","Journal of Environmental Management"
"2973","Ecological Economics"
"2974","Ecology and Society"
"2975","Environmental Science & Policy"
"2976","Current Opinion in Environmental Sustainability"
"2977","The International Journal of Life Cycle Assessment"
"2978","Ecosystem Services"
"2979","Sustainability"
"2980","Journal of Sustainable Tourism"
"2981","Teaching and Teacher Education"
"2982","Journal of Teacher Education"
"2983","TESOL Quarterly"
"2984","Teachers and Teaching"
"2985","The Reading Teacher"
"2986","Journal of Adolescent & Adult Literacy"
"2987","Reading Research Quarterly"
"2988","Theory Into Practice"
"2989","Australian Journal of Teacher Education"
"2990","Teaching in Higher Education"
"2991","Computer Law & Security Review"
"2992","Berkeley Technology Law Journal"
"2993","Pharmaceutical Patent Analyst"
"2994","International Data Privacy Law"
"2995","Minnesota Journal of Law, Science & Technology"
"2996","Vanderbilt Journal of Entertainment and Technology Law"
"2997","World Patent Information"
"2998","Columbia Journal of Law & the Arts"
"2999","IIC-International Review of Intellectual Property and Competition Law"
"3000","Journal on Telecommunications & High Technology Law"
"3001","Landscape and Urban Planning"
"3002","Land Use Policy"
"3003","Regional Studies"
"3004","Urban Studies"
"3005","Cities"
"3006","International Journal of Urban and Regional Research"
"3007","Habitat International"
"3008","Journal of Urban Economics"
"3009","Environment and Planning A"
"3010","Computers, Environment and Urban Systems"
